ID,Vacancy_name,Salary,Experience,Company_name,Location
226,Региональный менеджер по маркетингу,500 000 – 700 000 ₸ на руки,Опыт 3-6 лет,ТОО DOSCAR GROUP,Алматы
227,Marketing manager,,Опыт 3-6 лет,ТОО Центр Красоты и Здоровья НикОль,Алматы
228,Руководитель отдела маркетинга,,Опыт 3-6 лет,ИП Uaka Food,Астана
229,SMM специалист,300 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО BW&Grafen,Алматы
230,SMM специалист,300 000 – 500 000 ₸ на руки,Опыт 1-3 года,ТОО BW&Grafen,Алматы
231,Маркетолог для продвижения продуктов ОТС (безрецептурных препаратов),500 000 – 600 000 ₸ на руки,Опыт 3-6 лет,ТОО Rogers Pharma,Алматы
232,Маркетолог,,Опыт более 6 лет,ТОО КДЛ ОЛИМП (ТОО Мырза-Хан),Астана
233,Email Маркетолог (со знанием английского языка),от 500 $ до вычета налогов,Опыт 1-3 года,Link Market,Астана
234,Маркетолог отельного бизнеса,200 000 – 300 000 ₸ на руки,Опыт 1-3 года,ИП Жанагуль,Алматы
235,Менеджер по маркетингу,,Опыт 3-6 лет,АО Группа компаний Аллюр,Алматы
236,Специалист по маркетингу по продвижению мировых лидеров,до 350 000 ₸ на руки,Опыт 1-3 года,ТОО ЮНИТАЙР,Алматы
237,Менеджер по маркетингу,,Опыт более 6 лет,ТОО Free Line Retail,Алматы
238,Трейд-маркетолог,,Опыт 3-6 лет,ТОО Шымкентский пивоваренный завод,Шымкент
